family	decimalLatitude	decimalLongitude
Malvaceae	34.037811	-118.747673
Anacardiaceae	34.039024	-118.749306
Platanaceae	34.039602	-118.75347
Betulaceae	34.040041	-118.753773
Euphorbiaceae	34.049538	-118.753712
Asteraceae	34.039969	-118.752934
Phrymaceae	34.049369	-118.753864
Polygonaceae	34.038105	-118.747842
Apocynaceae	34.039024	-118.749306
Euphorbiaceae	34.038894	-118.748242
Aizoaceae	34.178574	-119.236053
Asteraceae	34.182311	-119.23917
Heliotropiaceae	34.180247	-119.237603
Nyctaginaceae	34.182408	-119.238895
Asteraceae	34.149919	-118.5671
Lamiaceae	34.153544	-118.566514
Plantaginaceae	34.034022	-118.706128
Apocynaceae	34.034022	-118.706128
Malvaceae	34.147088	-118.567395
Polygonaceae	34.148191	-118.567331
Lamiaceae	34.152769	-118.566453
Oxalidaceae	41.89395	-87.610924
Brassicaceae	34.033877	-118.706256
Malvaceae	39.080136	-120.214003
Onagraceae	34.128972	-118.527359
Liliaceae	39.074177	-120.221423
Melanthiaceae	39.074075	-120.221517
Balsaminaceae	39.025816	-83.431662
Balsaminaceae	39.531605	-83.443837
Asteraceae	34.733509	-92.351245
Acanthaceae	39.025802	-83.430453
Asteraceae	39.025805	-83.430503
Apiaceae	39.023183	-83.429312
Lamiaceae	34.251435	-118.773236
Pteridaceae	34.526076	-119.401817
Rosaceae	45.167909	-69.385614
Solanaceae	37.916212	-121.950388
Ericaceae	37.911971	-121.951675
Cactaceae	33.614877	-113.646348
Cactaceae	34.832233	-111.766392
Ranunculaceae	34.553486	-119.779406
Solanaceae	34.791399	-111.761009
Poaceae	36.33862	-119.169817
Lycopodiaceae	41.415289	-72.529864
Adoxaceae	33.776728	-116.679772
Adoxaceae	33.776728	-116.679772
Poaceae	33.870144	-118.322502
Juglandaceae	34.14452	-118.74469
Apiaceae	34.037701	-118.749397
Poaceae	34.043522	-118.753319
Poaceae	34.039597	-118.753754
Clethraceae	42.425457	-71.492851
Apocynaceae	44.022669	-73.165308
Araceae	42.440782	-71.483112
Fabaceae	34.700952	-118.383153
Lamiaceae	34.700952	-118.383153
Cactaceae	34.278558	-116.912425
Euphorbiaceae	34.734186	-118.390545
Papaveraceae	34.733755	-118.392392
Ericaceae	46.898087	-122.282783
Ericaceae	46.898087	-122.282783
Ericaceae	47.317207	-122.546814
Apocynaceae	41.616017	-70.550354
Cupressaceae	41.527816	-70.65532
Ericaceae	47.65406	-122.293167
Ericaceae	46.84493	-122.292231
Ericaceae	47.670925	-122.306305
Ericaceae	46.840572	-122.316498
Hydrophyllaceae	34.038358	-118.43197
Asphodelaceae	34.287141	-119.292042
Asteraceae	34.111727	-118.510248
Rosaceae	34.128538	-118.526206
Lamiaceae	34.128877	-118.527028
Oxalidaceae	34.128138	-118.521881
Geraniaceae	34.038358	-118.43197
Fabaceae	34.038358	-118.43197
Ericaceae	42.061391	-70.220156
Rosaceae	42.44508	-71.491388
Asparagaceae	42.445254	-71.491473
Primulaceae	42.445071	-71.49134
Orchidaceae	42.440667	-71.491044
Solanaceae	32.686444	-116.978389
Polygonaceae	42.42304	-71.449041
Oleaceae	42.381416	-71.116273
Oleaceae	42.446163	-71.475006
Ericaceae	43.903116	-73.041499
Poaceae	33.730745	-95.730181
Oleaceae	42.379726	-71.116127
Rosaceae	34.186202	-118.102722
Oleaceae	43.655801	-70.195405
Asteraceae	41.424167	-70.6195
Oleaceae	41.3915	-70.513333
Fabaceae	41.423	-70.623
Caprifoliaceae	41.4215	-70.615667
Rosaceae	41.424333	-70.619167
Ericaceae	47.651718	-122.312462
Rosaceae	47.711553	-122.374393
Ericaceae	47.66175	-122.41975
Ericaceae	47.651287	-122.308953
Ericaceae	47.600775	-122.288068
